timestamp,symbol,action,confidence,buy_prob,sell_prob,hold_prob
2025-09-01 04:08:18.332000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:08:20.413000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:08:22.040000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:08:22.458000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:09:22.853000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:09:23.243000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:09:23.651000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:09:24.039000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:10:24.419000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:10:24.805000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:10:25.196000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:10:25.583000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:11:25.992000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:11:26.367000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:11:26.758000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:11:27.149000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:12:27.659000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:12:28.040000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:12:28.451000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:12:28.836000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:13:29.198000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:13:29.584000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:13:29.976000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:13:30.366000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:14:30.743000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:14:31.134000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:14:31.534000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:14:31.917000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:15:32.295000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:15:32.693000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:15:33.074000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:15:33.497000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:16:33.869000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:16:34.260000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:16:34.648000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:16:35.031000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:17:35.412000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:17:35.791000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:17:36.182000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:17:36.571000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:18:36.947000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:18:37.336000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:18:37.727000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:18:38.136000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:19:38.526000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:19:38.901000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:19:39.292000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:19:39.678000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:20:40.058000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:20:40.442000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:20:40.824000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:20:41.199000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:21:41.587000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:21:41.963000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:21:42.372000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:21:42.746000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:22:43.121000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:22:43.530000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:22:43.917000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:22:44.308000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:23:44.680000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:23:45.060000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:23:45.445000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:23:45.841000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:24:46.216000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:24:46.603000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:24:46.981000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:24:47.371000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:25:47.746000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:25:48.137000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:25:48.561000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:25:48.950000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:26:49.308000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:26:49.696000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:26:50.080000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:26:50.462000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:27:50.840000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:27:51.230000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:27:51.619000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 04:27:51.996000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 04:28:52.388000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 04:28:52.780000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 04:28:53.178000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
